invoice_number,invoice_date,po_number,supplier_id,supplier_name,material_code,line_item_description,quantity_invoiced,unit,unit_price_idr,line_total_idr,subtotal_idr,tax_percent,tax_amount_idr,total_invoice_idr,payment_terms,due_date,payment_status,payment_date,payment_method,payment_reference,discrepancy_flag,discrepancy_type,discrepancy_notes,validated_by,validation_date
INV-2024-100,2023-07-10,PO-2024-001,SUP-003,PT Dexa Medica,RAW-009,Salbutamol Sulfate,10000,KG,962608,9626080000,9626080000,11,1058868800,10684948800,Net 45,2023-08-24,Paid,2023-08-20,Bank Transfer,TRF-2024-534,No,None,Matches PO exactly,Citra Finance,2023-07-11
INV-2024-101,2023-07-09,PO-2024-002,SUP-009,PT Prima Pack Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),25000,Roll,131248,3281200000,3281200000,11,360932000,3642132000,Net 45,2023-08-23,Paid,2023-08-18,Bank Transfer,TRF-2024-246,No,None,Matches PO exactly,Budi Finance,2023-07-10
INV-2024-102,2023-07-13,PO-2024-003,SUP-001,PT Kimia Farma Trading & Distribution,RAW-001,Amoxicillin Trihydrate,8000,KG,154295,1234360000,1234360000,11,135779600,1370139600,Net 60,2023-09-11,Paid,2023-09-10,Bank Transfer,TRF-2024-211,No,None,Matches PO exactly,Citra Finance,2023-07-14
INV-2024-103,2023-07-11,PO-2024-004,SUP-002,PT Indofarma Global Medika,RAW-002,Paracetamol,8000,KG,86112,688896000,688896000,11,75778560,764674560,Net 60,2023-09-09,Paid,2023-09-07,Bank Transfer,TRF-2024-841,No,None,Matches PO exactly,Budi Finance,2023-07-12
INV-2024-104,2023-07-27,PO-2024-005,SUP-005,PT Phapros,RAW-004,Ibuprofen,8000,KG,212988,1703904000,1703904000,11,187429440,1891333440,Net 30,2023-08-26,Paid,2023-08-21,Bank Transfer,TRF-2024-944,No,None,Perfect match with PO,Citra Finance,2023-07-28
INV-2024-105,2023-07-13,PO-2024-006,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),20000,Unit,115,2300000,2300000,11,253000,2553000,Net 45,2023-08-27,Paid,2023-08-26,Bank Transfer,TRF-2024-724,No,None,Matched with PO,Ani Finance,2023-07-14
INV-2024-106,2023-07-11,PO-2024-007,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,2000,KG,365864,731728000,731728000,11,80490080,812218080,Net 45,2023-08-25,Paid,2023-08-23,Bank Transfer,TRF-2024-500,No,None,Matched with PO,Citra Finance,2023-07-12
INV-2024-107,2023-07-18,PO-2024-008,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,8000,KG,906891,7255128000,7255128000,11,798064080,8053192080,Net 60,2023-09-16,Paid,2023-09-11,Bank Transfer,TRF-2024-419,No,None,Matched with PO,Citra Finance,2023-07-19
INV-2024-108,2023-07-18,PO-2024-009,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),9556,Unit,106,1012936,1012936,11,111422,1124358,Net 45,2023-09-01,Pending,,,,Yes,Quantity Variance,Invoiced 9556 Unit but PO was 10000 Unit (-444 Unit short delivery),,
INV-2024-109,2023-07-15,PO-2024-010,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,15000,Unit,866,12990000,12990000,11,1428900,14418900,Net 30,2023-08-14,Paid,2023-08-10,Bank Transfer,TRF-2024-751,No,None,Perfect match with PO,Citra Finance,2023-07-16
INV-2024-110,2023-07-19,PO-2024-011,SUP-008,PT Global Pack Industries,PKG-005,Corrugated Carton Box (Master),30000,Unit,3476,104280000,104280000,11,11470800,115750800,Net 45,2023-09-02,Paid,2023-09-01,Bank Transfer,TRF-2024-525,No,None,Matches PO exactly,Ani Finance,2023-07-20
INV-2024-111,2023-07-12,PO-2024-012,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,1000,KG,20964,20964000,20964000,11,2306040,23270040,Net 45,2023-08-26,Paid,2023-08-25,Bank Transfer,TRF-2024-780,No,None,Matches PO exactly,Budi Finance,2023-07-13
INV-2024-112,2023-07-25,PO-2024-013,SUP-005,PT Phapros,RAW-009,Salbutamol Sulfate,8000,KG,929865,7438920000,7438920000,11,818281200,8257201200,Net 30,2023-08-24,Paid,2023-08-21,Bank Transfer,TRF-2024-905,No,None,Matched with PO,Ani Finance,2023-07-26
INV-2024-113,2023-07-31,PO-2024-014,SUP-004,PT Kalbe Farma,RAW-004,Ibuprofen,10000,KG,211186,2111860000,2111860000,11,232304600,2344164600,Net 30,2023-08-30,Paid,2023-08-29,Bank Transfer,TRF-2024-505,No,None,Matches PO exactly,Ani Finance,2023-08-01
INV-2024-114,2023-07-17,PO-2024-015,SUP-001,PT Kimia Farma Trading & Distribution,RAW-005,Cetirizine HCl,10000,KG,3070770,30707700000,30707700000,11,3377847000,34085547000,Net 60,2023-09-15,Paid,2023-09-13,Bank Transfer,TRF-2024-153,No,None,Matched with PO,Budi Finance,2023-07-18
INV-2024-115,2023-07-14,PO-2024-016,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,944,18880000,18880000,11,2076800,20956800,Net 30,2023-08-13,Paid,2023-08-12,Bank Transfer,TRF-2024-964,No,None,Matches PO exactly,Budi Finance,2023-07-15
INV-2024-116,2023-07-18,PO-2024-017,SUP-009,PT Prima Pack Indonesia,PKG-005,Corrugated Carton Box (Master),15000,Unit,3582,53730000,53730000,11,5910300,59640300,Net 45,2023-09-01,Paid,2023-08-31,Bank Transfer,TRF-2024-841,No,None,Matched with PO,Ani Finance,2023-07-19
INV-2024-117,2023-07-18,PO-2024-018,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),5000,KG,25653,128265000,128265000,11,14109150,142374150,Net 60,2023-09-16,Paid,2023-09-14,Bank Transfer,TRF-2024-208,No,None,Matches PO exactly,Budi Finance,2023-07-19
INV-2024-118,2023-07-15,PO-2024-019,SUP-012,PT Brataco,EXC-001,Lactose Monohydrate,5000,KG,21361,106805000,106805000,11,11748550,118553550,Net 45,2023-08-29,Paid,2023-08-25,Bank Transfer,TRF-2024-557,No,None,Matches PO exactly,Budi Finance,2023-07-16
INV-2024-119,2023-07-18,PO-2024-020,SUP-009,PT Prima Pack Indonesia,PKG-005,Corrugated Carton Box (Master),20000,Unit,3661,73220000,73220000,11,8054200,81274200,Net 45,2023-09-01,Pending,,,,Yes,Price Variance,"Unit price higher than PO: Rp 3,661 vs Rp 3,580 (+2.26%)",,
INV-2024-120,2023-07-17,PO-2024-021,SUP-011,PT Chemical Works Indonesia,EXC-001,Microcrystalline Cellulose (Avicel PH102),1000,KG,24307,24307000,24307000,11,2673770,26980770,Net 45,2023-08-31,Paid,2023-08-29,Bank Transfer,TRF-2024-265,No,None,Matches PO exactly,Ani Finance,2023-07-18
INV-2024-121,2023-07-19,PO-2024-022,SUP-009,PT Prima Pack Indonesia,PKG-007,Desiccant Silica Gel 1g,10000,Unit,200,2000000,2000000,11,220000,2220000,Net 45,2023-09-02,Paid,2023-08-29,Bank Transfer,TRF-2024-077,No,None,Matched with PO,Ani Finance,2023-07-20
INV-2024-122,2023-07-21,PO-2024-023,SUP-010,PT Pharma Excipient Supply,EXC-001,Colloidal Silicon Dioxide,5000,KG,207926,1039630000,1039630000,11,114359300,1153989300,Net 60,2023-09-19,Pending,,,,Yes,Tax Calculation Error,Tax calculation differs from PO,,
