po_number,po_date,pr_number,supplier_id,supplier_name,material_code,material_name,quantity,unit,unit_price_idr,subtotal_idr,tax_percent,tax_amount_idr,total_amount_idr,delivery_date,delivery_location,payment_terms,status,created_by,approved_by,approval_date,received_date,received_quantity,notes
PO-2024-001,2023-07-01,PR-2024-078,SUP-003,PT Dexa Medica,RAW-009,Salbutamol Sulfate,10000,KG,962608,9626080000,11,1058868800,10684948800,2023-07-10,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Sari Director,2023-07-02,2023-07-10,10000,Quality check required retest
PO-2024-002,2023-07-01,PR-2024-081,SUP-009,PT Prima Pack Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),25000,Roll,131248,3281200000,11,360932000,3642132000,2023-07-09,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Sari Director,2023-07-02,2023-07-09,24326,Quality check required retest
PO-2024-003,2023-07-02,PR-2024-085,SUP-001,PT Kimia Farma Trading & Distribution,RAW-001,Amoxicillin Trihydrate,8000,KG,154295,1234360000,11,135779600,1370139600,2023-07-13,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Sari Director,2023-07-03,2023-07-13,8000,Quality check required retest
PO-2024-004,2023-07-03,PR-2024-089,SUP-002,PT Indofarma Global Medika,RAW-002,Paracetamol,8000,KG,86112,688896000,11,75778560,764674560,2023-07-11,Warehouse B - Bandung,Net 60,Completed,Citra Procurement,Sari Director,2023-07-04,2023-07-11,7797,Delivery 2 days late
PO-2024-005,2023-07-04,PR-2024-092,SUP-005,PT Phapros,RAW-004,Ibuprofen,8000,KG,212988,1703904000,11,187429440,1891333440,2023-07-27,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Sari Director,2023-07-05,2023-07-27,8000,On-time delivery with COA
PO-2024-006,2023-07-04,PR-2024-094,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),20000,Unit,115,2300000,11,253000,2553000,2023-07-13,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-05,2023-07-13,20000,Delivery 2 days late
PO-2024-007,2023-07-04,PR-2024-095,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,2000,KG,365864,731728000,11,80490080,812218080,2023-07-11,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Sari Director,2023-07-05,2023-07-11,2000,Slight delay but acceptable quality
PO-2024-008,2023-07-05,PR-2024-098,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,8000,KG,906891,7255128000,11,798064080,8053192080,2023-07-18,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Sari Director,2023-07-06,2023-07-18,8000,Delivery 2 days late
PO-2024-009,2023-07-05,PR-2024-099,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),10000,Unit,106,1060000,11,116600,1176600,2023-07-18,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-06,2023-07-18,10000,Quality check required retest
PO-2024-010,2023-07-05,PR-2024-100,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,15000,Unit,866,12990000,11,1428900,14418900,2023-07-15,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Rudi Manager,2023-07-06,2023-07-15,15000,COA received
