supplier_id,supplier_name,supplier_type,category_specialization,country,city,tax_id,rating,payment_terms_days,currency,lead_time_days,quality_certification,last_audit_date,annual_spend_idr,on_time_delivery_percent,defect_rate_percent,contract_status,contact_person,email,phone
SUP-001,PT Kimia Farma Trading & Distribution,Manufacturer,Raw Material,Indonesia,Jakarta,11.549.485.0-282.000,B,60,IDR,10,"ISO 9001, GMP, ISO 14001",2024-01-03,6262519339,83.9,3.3,Pending,"Balidin Dongoran, S.T.",jindra@kimia.co.id,+62-27-2659454
SUP-002,PT Indofarma Global Medika,Manufacturer,Raw Material,Indonesia,Bekasi,54.282.681.7-345.000,B+,60,IDR,7,"ISO 9001, GMP",2023-01-28,5494260199,87.7,1.8,Active,Cahyono Jailani,vicky@indofarma.co.id,+62-25-4761034
SUP-003,PT Dexa Medica,Manufacturer,Raw Material,Indonesia,Tangerang,49.100.671.1-566.000,B+,45,IDR,7,"ISO 9001, GMP, HALAL",2023-05-13,7600023339,87.1,1.5,Active,"Puji Irawan, M.Farm",surya@dexa.co.id,+62-27-1718102
SUP-004,PT Kalbe Farma,Distributor,Raw Material,Indonesia,Jakarta,35.304.449.1-861.000,A-,30,IDR,21,ISO 9001,2023-05-20,9122061134,92.8,1.0,Active,Among Iswahyudi,ibrani@kalbe.co.id,+62-26-3980817
SUP-005,PT Phapros,Manufacturer,Raw Material,Indonesia,Semarang,37.753.293.6-348.000,A,30,IDR,21,"ISO 9001, GMP",2023-06-15,5488493174,97.4,0.8,Active,Johan Suartini,asmadi@phapros.co.id,+62-29-8996163
SUP-006,PT Indo Packaging Solutions,Manufacturer,Packaging,Indonesia,Surabaya,37.300.641.9-996.000,A-,30,IDR,7,"ISO 9001, GMP, ISO 14001",2023-10-06,2973477025,92.2,1.0,Active,Sutan Nasrullah Yulianti,hafshah@indo.co.id,+62-28-5161518
SUP-007,PT Multi Packaging Indonesia,Manufacturer,Packaging,Indonesia,Bandung,97.198.869.8-566.000,A,45,IDR,18,"ISO 9001, GMP, ISO 14001",2024-01-04,1656524010,94.2,0.5,Active,Gawati Hassanah,maria@multi.co.id,+62-25-4967262
SUP-008,PT Global Pack Industries,Manufacturer,Packaging,Indonesia,Jakarta,28.250.929.0-960.000,B+,45,IDR,10,"ISO 9001, GMP, HALAL",2023-08-31,11755615797,86.9,1.9,Active,Yessi Ardianto,galuh@global.co.id,+62-31-5654846
SUP-009,PT Prima Pack Indonesia,Manufacturer,Packaging,Indonesia,Tangerang,04.159.938.1-183.000,A-,45,IDR,7,"ISO 9001, GMP",2023-06-13,9818346809,90.0,0.9,Active,"Lintang Siregar, S.T.",galang@prima.co.id,+62-25-7992395
SUP-010,PT Pharma Excipient Supply,Distributor,Excipient,Indonesia,Jakarta,94.478.504.3-853.000,B+,60,IDR,7,"ISO 9001, GMP, ISO 14001",2023-06-24,3957033773,88.1,1.9,Active,Yusuf Sirait,damu@pharma.co.id,+62-30-2422091
SUP-011,PT Chemical Works Indonesia,Manufacturer,Excipient,Indonesia,Cikarang,91.108.530.3-302.000,B+,45,IDR,7,ISO 9001,2023-08-20,3874468769,87.2,2.3,Active,Harjasa Kuswoyo,nasim@chemical.co.id,+62-30-6032752
SUP-012,PT Brataco,Distributor,Excipient,Indonesia,Jakarta,74.315.814.3-402.000,B,45,IDR,7,"ISO 9001, GMP, HALAL",2023-07-07,11724738784,85.6,2.4,Active,"dr. Rahmi Saptono, S.Gz",vega@brataco.co.id,+62-22-1001247
